company_name,col_name,min_cont_length,horizon,model_name,MAE,MdAE,RMSE,MASE,MdASE
A,NormSpend,13,6,lstm8b,0.221808,0.189244,0.281294,0.748784,0.842511
A,NormSpend,13,6,lstm8bf,0.221096,0.176746,0.289852,0.746382,0.786868
A,NormSpend,13,6,lstm8bv,0.225457,0.188856,0.284943,0.761103,0.840780
A,NormSpend,13,6,lstm8f,0.255931,0.156584,0.351237,0.863978,0.697110
A,NormSpend,13,6,naive,0.272242,0.205569,0.360784,0.919040,0.915187
B,NormSpend,13,1,arima3,0.176986,0.124957,0.244197,0.720304,0.650451
B,NormSpend,13,1,arima6,0.196423,0.134138,0.275194,0.799408,0.698240
B,NormSpend,13,1,arma3,0.170261,0.119784,0.232954,0.692935,0.623521
B,NormSpend,13,1,arma6,0.199657,0.141850,0.277346,0.812571,0.738380
B,NormSpend,13,1,flstm32,0.226397,0.156072,0.308643,0.921398,0.812413
B,NormSpend,13,1,flstm32bv,0.244601,0.178877,0.328536,0.995484,0.931121
B,NormSpend,13,1,flstm8,0.235829,0.163423,0.319769,0.959786,0.850678
B,NormSpend,13,1,flstm8bv,0.212560,0.139441,0.293291,0.865083,0.725845
B,NormSpend,13,1,lstm16,0.170626,0.137052,0.220384,0.694421,0.713405
B,NormSpend,13,1,lstm16b,0.167077,0.131421,0.219381,0.679974,0.684094
B,NormSpend,13,1,lstm32,0.164400,0.131051,0.212908,0.669079,0.682169
B,NormSpend,13,1,lstm32b,0.156964,0.120530,0.208991,0.638818,0.627403
B,NormSpend,13,1,lstm32bf,0.175029,0.116182,0.245009,0.712339,0.604769
B,NormSpend,13,1,lstm32bv,0.166551,0.130294,0.217319,0.677837,0.678228
B,NormSpend,13,1,lstm32f,0.226397,0.156072,0.308643,0.921398,0.812413
B,NormSpend,13,1,lstm4,0.161755,0.129245,0.210733,0.658317,0.672771
B,NormSpend,13,1,lstm4b,0.157114,0.119531,0.209264,0.639427,0.622204
B,NormSpend,13,1,lstm8,0.166764,0.134145,0.214224,0.678702,0.698275
B,NormSpend,13,1,lstm8b,0.158457,0.118275,0.214421,0.644895,0.615665
B,NormSpend,13,1,lstm8bf,0.176581,0.128273,0.240895,0.718656,0.667707
B,NormSpend,13,1,lstm8bv,0.168202,0.137865,0.213735,0.684554,0.717642
B,NormSpend,13,1,lstm8f,0.235829,0.163423,0.319769,0.959786,0.850678
B,NormSpend,13,1,naive,0.187273,0.133461,0.264376,0.762169,0.694714
B,NormSpend,13,3,arima3,0.197744,0.140362,0.274283,0.746657,0.679774
B,NormSpend,13,3,arima6,0.219345,0.150201,0.307056,0.828222,0.727424
B,NormSpend,13,3,arma3,0.186875,0.136573,0.255379,0.705619,0.661426
B,NormSpend,13,3,arma6,0.210599,0.150986,0.294078,0.795200,0.731229
B,NormSpend,13,3,flstm32,0.238425,0.155081,0.330937,0.900268,0.751059
B,NormSpend,13,3,flstm32bv,0.267396,0.191708,0.361430,1.009658,0.928446
B,NormSpend,13,3,flstm8,0.238432,0.148480,0.330872,0.900292,0.719089
B,NormSpend,13,3,flstm8bv,0.234242,0.148454,0.326377,0.884470,0.718967
B,NormSpend,13,3,lstm16,0.190362,0.149292,0.245609,0.718788,0.723025
B,NormSpend,13,3,lstm16b,0.184895,0.140364,0.242622,0.698141,0.679784
B,NormSpend,13,3,lstm32,0.186255,0.146011,0.242273,0.703279,0.707134
B,NormSpend,13,3,lstm32b,0.179575,0.135047,0.238292,0.678054,0.654033
B,NormSpend,13,3,lstm32bf,0.202786,0.128812,0.284852,0.765696,0.623839
B,NormSpend,13,3,lstm32bv,0.178841,0.130740,0.240581,0.675283,0.633178
B,NormSpend,13,3,lstm32f,0.238425,0.155081,0.330937,0.900268,0.751059
B,NormSpend,13,3,lstm4,0.185850,0.143767,0.241607,0.701750,0.696266
B,NormSpend,13,3,lstm4b,0.179747,0.136144,0.238588,0.678703,0.659350
B,NormSpend,13,3,lstm8,0.188664,0.148673,0.243307,0.712374,0.720026
